Running on device: cuda, Parallel training disabled
Loading dynamics config from config/dynamics_configs/full_config.json
------------------------------------------------------------
DYNAMICS CONFIGURATION:
------------------------------------------------------------
dynamics: FullDynamics
T: 1.0
N: 144
dim: 3
dim_W: 2
y0: [100.0, 80.0, 0.0]
mu_P: 0.0
mu_D: 0.0
time_dep_vol: True
use_exact: True
low_vol: True
sigma_P0: 10
sigma_P1: 20
alpha_P: 120.0
beta_P: 40.0
sigma_D0: 30.0
sigma_D1: 50.0
alpha_D: 1600.0
beta_D: 900.0
rho: -0.6
psi: 5.0
gamma: 0.05
nu: 0.042
eta: 10
smooth_control: True
eps: 0.5
schedule_epsilon: True
eps_decay_factor: 0.95
eps_update_every: 1000
analytical_known: True
dt: 0.006944444444444444
------------------------------------------------------------
Attempting to load model from saved_models/4_naislstm_GELU
No model checkpoint file found in saved_models/4_naislstm_GELU
    Expected files: model_best.pth or model_latest.pth
Starting training from scratch.
Saving configuration files...
Configuration saved to saved_models/4_naislstm_GELU
Training started at 2025-07-03 02:57:30
Logging training to saved_models/4_naislstm_GELU/training.log
   Epoch |      Y val |      q val | Total loss |     Y loss |    T. loss |   T.G. loss |   pinn loss |   cost loss |         LR |        Eps |  Memory [MB] | Time [s] |        ETA | Status              
    3800 |   5.01e+05 |   2.43e+03 |  -6.38e+07 |   2.82e+04 |   3.11e+05 |    4.98e+03 |    8.43e+04 |   -6.42e+03 |   8.15e-03 |   4.29e-01 |     18268.29 |    80.68 |  2805m 59s | Model saved (best)  
    3850 |   5.09e+05 |   2.45e+03 |  -6.35e+07 |   2.77e+04 |   3.18e+05 |    5.06e+03 |    8.59e+04 |   -6.40e+03 |   8.15e-03 |   4.29e-01 |     18268.29 |    87.75 |  2804m 37s | Model saved         
    3900 |   4.95e+05 |   2.30e+03 |  -6.39e+07 |   2.70e+04 |   3.03e+05 |    4.89e+03 |    8.47e+04 |   -6.43e+03 |   8.15e-03 |   4.29e-01 |     18268.29 |    80.27 |  2800m 12s | Model saved (best)  
    3950 |   5.01e+05 |   2.30e+03 |  -6.36e+07 |   2.76e+04 |   3.07e+05 |    4.93e+03 |    8.67e+04 |   -6.41e+03 |   8.15e-03 |   4.29e-01 |     18268.29 |    87.81 |  2798m 54s | Model saved         
    4000 |   4.91e+05 |   2.24e+03 |  -6.39e+07 |   2.74e+04 |   2.95e+05 |    4.80e+03 |    8.61e+04 |   -6.43e+03 |   8.15e-03 |   4.07e-01 |     18268.29 |    80.40 |  2794m 38s | Model saved (best)  
    4050 |   4.96e+05 |   2.21e+03 |  -6.37e+07 |   2.81e+04 |   3.00e+05 |    4.84e+03 |    8.44e+04 |   -6.41e+03 |   8.15e-03 |   4.07e-01 |     18268.29 |    89.42 |  2794m 00s | Model saved         
    4100 |   4.88e+05 |   2.19e+03 |  -6.40e+07 |   2.75e+04 |   2.91e+05 |    4.74e+03 |    8.49e+04 |   -6.44e+03 |   8.15e-03 |   4.07e-01 |     18268.29 |    80.19 |  2789m 45s | Model saved (best)  
    4150 |   4.93e+05 |   2.16e+03 |  -6.38e+07 |   2.81e+04 |   2.95e+05 |    4.78e+03 |    8.42e+04 |   -6.42e+03 |   8.15e-03 |   4.07e-01 |     18268.29 |    88.35 |  2788m 43s | Model saved         
    4200 |   4.84e+05 |   2.13e+03 |  -6.40e+07 |   2.84e+04 |   2.85e+05 |    4.66e+03 |    8.38e+04 |   -6.44e+03 |   8.15e-03 |   4.07e-01 |     18268.29 |    80.72 |  2784m 46s | Model saved (best)  
    4250 |   4.90e+05 |   2.08e+03 |  -6.38e+07 |   2.83e+04 |   2.88e+05 |    4.71e+03 |    8.25e+04 |   -6.42e+03 |   8.15e-03 |   4.07e-01 |     18268.29 |    87.35 |  2783m 22s | Model saved         
